ACCORD OFFICE GLOSSARY,,,,,,
,,,,,,
,,,,,,
,,,,,,
Term,Abbreviation,Definition,Selection Choices,Examples,Modules Using Term,
Account Rule,,The manner in which assessments and receipts are applied in the General Ledger.,,,,
Accounting Period,,"With respect to each Business Unit, the time interval when financial results are assessed on an interim basis",,"Hotel may have a daily Accounting Period, Multifamily property may have a Monthly Accounting Period",All Modules,
Accrual,,The time at which Market Rate is assessed for a particular Rentable,"one-time, secondly, minutely, hourly, daily, weekly, monthly, quarterly, yearly",Unit 6303-382 has gross scheduled rent of $682 per month for which an Accrual is made each 1st day of the month during the term of the Rental Agreement.,Rent Roll,
Accrual Default,,"With respect to a particular Rentable, the time at which an Accrual is made",,,Rent Roll,
Activity Note,,A time-stamped message to which further time-stamped messages can be appended located in Rental Agreements,,,,
Agreement Start,,The date on which a Rental Agreement becomes active,,,,
Agreement Stop,,The date on which a Rental Agreement terminates,,,,
Applicant,,A Transactant that has submitted an application to rent a Rentable.,n/a,"(a) John Jones completes an application to lease 123 Main Street, Apt 32, and submits the application for consideration. (b) ABC Corporation submits a letter of intent for lease of 400 Cedar Lane.",Rent Roll,
Application,,An offer of rental by an Applicant for a specific Rentable or for a Rentable Type uniquely identified by a Rental Agreement Number,,,,
Assessment,ASM,"The accrual of an obligation for a Payor to pay Rent or other charge pursuant to a Rental Agreement, or the commitment of a Business Unit to disburse funds or issue a credit in respect of a Rental Agreement",,"(a) On the first day of each month, an assessment is made for the monthly rent owed by permanent residents pursuant to their rental agreement, (b) at the start of each day, an assessment is made for daily rate owed by transient residents pursuant to their rental agreement, (C) REH agrees to refund a deposit of $750",Rent Roll,
Assessment ID,ASMID,The unique identifier associate with an Assessment,,,Rent Roll,
Assessment Type,,"A recurring or non-recurring charge for a defined circumstance that is associated with a GL account, a default amount and a start and stop date",,,,
Assessment Type ID,ATypeLID,The unique identifier that associates an Assement with a GL Ledger number,.,,Rent Roll,
Assignment Time,,the time at which a Business Unit assigns a Rentable to a Rentable User based upon a Use Type,"unset, pre-assign, assign at Usage commencement","(a) at check-in, John Jones was assigned room 231., (b) a Business Unit accepts ABC Corporations' application for 400 Cedar Lane.",Rent Roll,
Associated,,a Transaction that arises from or is related to a Rental Agreement,n/a,"(a) a payment by John Jones for use of room 231, (b) a loss to lease of $400 per month for ABC Corporation's lease of 400 Cedar Lane.",Rent Roll,
Building,BLD,A unique address in which one or more Rentables (that are units of real property) are located,,,Rent Roll,
Building ID,BLDID,A unique identifier for a Building,,,Rent Roll,
